PoL_Timestamp,Currency.Code,Order.number,Quantity,Amount,Outstanding.Quantity,Outstanding.Amount,Qty_.to.Receive,Quantity.Received,ItemNo,k_ExpectedReceiptDate,k_RequestedReceiptDate,k_ConfirmedDeliveryDate,k_ETCDate,k_B_L.Date,k_OrderDate,k_PostingDate,k_DateReceived,PoH_Timestamp
2.02301E+13,USD,4524089840,306,4748,0,0,0,306,191702,20230113,20230115,20221130,2022,20230112,20220824,20230112,20230112,2.02301E+13
2.02307E+13,USD,4519074102,31,496,0,0,0,31,197017,20230224,20230115,20221130,2022,20230216,20220824,20230303,20230303,2.02307E+13
2.02301E+13,USD,4539521822,519,7386,0,0,0,519,197017,20230106,20230126,20221130,2022,20230112,20220824,20230109,20230109,2.02301E+13
2.02302E+13,USD,4534442840,61,1167,0,0,0,61,710595,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02302E+13,USD,4592903326,31,573,0,0,0,31,710595,20230216,20230215,20221231,2022,20230215,20220922,20230215,20230215,2.02302E+13
2.02301E+13,USD,4510099944,2567,44992,0,0,0,2567,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4513430541,1619,28388,0,0,0,1619,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4518329207,61,1068,0,0,0,61,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4522092909,306,5255,0,0,0,306,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4527842599,2872,50176,0,0,0,2872,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4537443266,92,1579,0,0,0,92,315758,20230127,20230126,20221215,2022,20230126,20220824,20230126,20230126,2.02301E+13
2.02307E+13,USD,4522340006,153,3043,0,0,0,153,315758,20230210,20230115,20221215,2022,20230203,20220824,20230207,20230207,2.02307E+13
2.02301E+13,USD,4587612242,397,6832,0,0,0,397,315758,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4542354727,703,11876,0,0,0,703,892390,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4542358459,306,5164,0,0,0,306,892390,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02301E+13,USD,4531401752,183,3098,0,0,0,183,892390,20230106,20230115,20221130,2022,20230105,20220824,20230105,20230105,2.02301E+13
2.02306E+13,USD,4512149459,122,2195,0,0,0,122,892390,20230210,20230115,20221215,2022,20230203,20220824,20230217,20230217,2.02306E+13
2.02301E+13,USD,4528812802,397,6725,0,0,0,397,892390,20230110,20230124,20221130,2022,20230106,20220824,20230109,20230109,2.02301E+13
2.02306E+13,USD,4534483055,92,1646,0,0,0,92,892390,20230210,20230115,20221215,2022,20230203,20220824,20230217,20230217,2.02306E+13
2.02301E+13,USD,4585493429,183,3109,0,0,0,183,892390,20230126,20230115,20221215,2022,20230125,20220824,20230125,20230125,2.02301E+13
2.02303E+13,USD,4510045595,214,3014,0,0,0,214,123578,20230214,20230115,20221215,2022,20230214,20220824,20230213,20230213,2.02303E+13
