"article_id","price","sellable_online"
593074,2615,TRUE
303185,2995,TRUE
388521,1295,TRUE
752178,2950,TRUE
482028,1370,TRUE
545547,1570,TRUE
608212,1990,TRUE
476949,4010,TRUE
496987,2515,TRUE
495940,1520,TRUE
119634,1067,TRUE
619274,4025,TRUE
212561,1123,TRUE
508169,1247,TRUE
465108,2350,TRUE
335580,275,TRUE
843924,1500,TRUE
474480,995,TRUE
981024,2195,TRUE
799498,1800,TRUE
606707,1750,TRUE
712920,700,TRUE
844786,350,TRUE
969047,4645,TRUE
405154,685,TRUE
927794,2310,TRUE
396700,4785,TRUE
642001,200,TRUE
342910,1725,TRUE
960769,915,TRUE
123541,1266,TRUE
451661,1700,TRUE
557902,3386,TRUE
498373,7765,TRUE
879507,5380,TRUE
812649,1020,TRUE
983248,775,TRUE
671465,2800,TRUE
973370,1870,TRUE
252745,2690,TRUE
924520,424,TRUE
461562,275,TRUE
587890,1260.5,TRUE
553593,3475,TRUE
543407,1785.5,TRUE
613686,2995,TRUE
389851,1695,TRUE
422941,3120,TRUE
929610,2450,TRUE
640314,2320,TRUE
723571,3760,TRUE
418564,160,TRUE
513945,3885,TRUE
201358,2610,TRUE
210207,1757,TRUE
512128,892,TRUE
823870,1095,TRUE
848265,1295,TRUE
440604,1195,TRUE
678336,5965,TRUE
130828,460,TRUE
456235,245,FALSE
234816,2505,TRUE
765051,995,TRUE
783195,3800,TRUE
235604,1210,TRUE
557636,29,TRUE
615892,195,TRUE
243791,145,TRUE
838606,25,TRUE
531392,1195,TRUE
589678,95,TRUE
617125,745,TRUE
789505,745,TRUE
134525,175,TRUE
296708,99,TRUE
758650,895,TRUE
776528,255,TRUE
113885,45,TRUE
144150,545,TRUE
716285,395,TRUE
647199,135,TRUE
643514,49,TRUE
261100,545,TRUE
169065,145,TRUE
286224,200,TRUE
850804,245,TRUE
740672,175,TRUE
819884,17,TRUE
963852,449,TRUE
550279,245,TRUE
356525,103,TRUE
415064,69,TRUE
340882,40,TRUE
555981,1045,TRUE
252238,2495,TRUE
640143,199,TRUE
269921,10,TRUE
467549,80,TRUE
550953,645,TRUE
943177,795,TRUE
727099,795,TRUE
256759,320,TRUE
686227,165,TRUE
101457,785,TRUE
115497,16.2,TRUE
733255,39,TRUE
631862,1578,TRUE
574202,1495,TRUE
316740,445,TRUE
114968,1470,TRUE
679208,235,TRUE
588923,275,TRUE
252716,199,TRUE
150571,75,TRUE
165061,15,TRUE
264972,375,TRUE
267972,40,TRUE
555742,245,TRUE
793150,175,TRUE
440044,995,TRUE
981261,795,FALSE
470739,395,TRUE
868659,175,TRUE
568202,745,TRUE
997737,17,TRUE
184148,35,TRUE
999895,49,TRUE
231383,75,TRUE
173115,105,TRUE
893051,1895,TRUE
752248,750,TRUE
864945,1495,TRUE
213706,709,TRUE
677660,895,TRUE
617160,29,TRUE
604546,90,TRUE
622761,189,TRUE
700993,320,TRUE
803476,356,TRUE
740175,550,TRUE
314977,45,TRUE
733461,995,TRUE
996114,75,TRUE
541751,172,TRUE
650922,145,TRUE
267657,170,TRUE
230948,995,TRUE
243422,200,TRUE
541962,550,TRUE
493073,99,TRUE
323358,89,TRUE
818058,645,TRUE
697695,395,TRUE
406284,295,TRUE
371785,450,TRUE
104537,385,TRUE
505986,3196,TRUE
961641,29,TRUE
580347,29,TRUE
177973,95,TRUE
722270,125,TRUE
411511,995,TRUE
832558,19,TRUE
724997,549,TRUE
101371,709,TRUE
529676,795,TRUE
667629,395,TRUE
830257,150,TRUE
539567,175,TRUE
885835,837,TRUE
463666,476,TRUE
190945,115,TRUE
624055,225,TRUE
413248,45,TRUE
667982,249,TRUE
882897,175,TRUE
105757,995,TRUE
477298,125,TRUE
316596,85,TRUE
121180,30,TRUE
100526,1095,TRUE
741690,295,TRUE
636977,225,TRUE
421338,25,TRUE
101501,695,TRUE
701459,129,TRUE
684164,59,TRUE
578397,925,TRUE
428618,1095,TRUE
427634,695,TRUE
474727,745,TRUE
164875,995,TRUE
753831,145,TRUE
603611,100,TRUE
562324,100,TRUE
646982,100,TRUE
992782,3245,TRUE
700882,365,TRUE
180014,3635,TRUE
292492,6028,TRUE
350454,3249,TRUE
500920,110,TRUE
258555,240,TRUE
699311,1660,TRUE
411020,1740,TRUE
779582,1030,TRUE
224320,2770,TRUE
744808,865,TRUE
757124,1100,TRUE
969978,437,TRUE
237540,434,TRUE
850794,1675,TRUE
992335,6965,TRUE
957252,2450,TRUE
610757,545,TRUE
